Grouping_var	Replicate	Clusters	Phase	n	freq
KO	r1	0	G1	173	0.422982885085575
KO	r1	0	G2M	136	0.332518337408313
KO	r1	0	S	100	0.244498777506112
KO	r1	1	G1	190	0.584615384615385
KO	r1	1	G2M	53	0.163076923076923
KO	r1	1	S	82	0.252307692307692
KO	r1	2	G1	217	0.559278350515464
KO	r1	2	G2M	55	0.141752577319588
KO	r1	2	S	116	0.298969072164948
KO	r1	3	G1	122	0.431095406360424
KO	r1	3	G2M	61	0.215547703180212
KO	r1	3	S	100	0.353356890459364
KO	r1	4	G1	169	0.561461794019934
KO	r1	4	G2M	58	0.192691029900332
KO	r1	4	S	74	0.245847176079734
KO	r1	5	G1	67	0.52755905511811
KO	r1	5	G2M	31	0.244094488188976
KO	r1	5	S	29	0.228346456692913
KO	r1	6	G1	172	0.646616541353383
KO	r1	6	G2M	38	0.142857142857143
KO	r1	6	S	56	0.210526315789474
KO	r1	7	G1	81	0.558620689655172
KO	r1	7	G2M	36	0.248275862068966
KO	r1	7	S	28	0.193103448275862
KO	r1	8	G1	38	0.358490566037736
KO	r1	8	G2M	31	0.292452830188679
KO	r1	8	S	37	0.349056603773585
KO	r1	9	G1	76	0.59375
KO	r1	9	G2M	27	0.2109375
KO	r1	9	S	25	0.1953125
KO	r1	10	G1	41	0.621212121212121
KO	r1	10	G2M	12	0.181818181818182
KO	r1	10	S	13	0.196969696969697
KO	r1	11	G1	56	0.323699421965318
KO	r1	11	G2M	67	0.38728323699422
KO	r1	11	S	50	0.289017341040462
KO	r1	12	G1	79	0.598484848484849
KO	r1	12	G2M	23	0.174242424242424
KO	r1	12	S	30	0.227272727272727
KO	r1	13	G1	32	0.463768115942029
KO	r1	13	G2M	24	0.347826086956522
KO	r1	13	S	13	0.188405797101449
KO	r1	14	G1	29	0.308510638297872
KO	r1	14	G2M	34	0.361702127659574
KO	r1	14	S	31	0.329787234042553
KO	r1	15	G1	46	0.638888888888889
KO	r1	15	G2M	8	0.111111111111111
KO	r1	15	S	18	0.25
KO	r1	16	G1	31	0.63265306122449
KO	r1	16	G2M	7	0.142857142857143
KO	r1	16	S	11	0.224489795918367
KO	r1	17	G1	28	0.424242424242424
KO	r1	17	G2M	19	0.287878787878788
KO	r1	17	S	19	0.287878787878788
KO	r1	18	G1	14	0.482758620689655
KO	r1	18	G2M	11	0.379310344827586
KO	r1	18	S	4	0.137931034482759
KO	r2	0	G1	368	0.455445544554455
KO	r2	0	G2M	248	0.306930693069307
KO	r2	0	S	192	0.237623762376238
KO	r2	1	G1	578	0.644370122630992
KO	r2	1	G2M	147	0.163879598662207
KO	r2	1	S	172	0.1917502787068
KO	r2	2	G1	558	0.597430406852248
KO	r2	2	G2M	149	0.159528907922912
KO	r2	2	S	227	0.243040685224839
KO	r2	3	G1	415	0.445757250268528
KO	r2	3	G2M	250	0.268528464017186
KO	r2	3	S	266	0.285714285714286
KO	r2	4	G1	319	0.512861736334405
KO	r2	4	G2M	182	0.292604501607717
KO	r2	4	S	121	0.194533762057878
KO	r2	5	G1	339	0.545893719806763
KO	r2	5	G2M	184	0.296296296296296
KO	r2	5	S	98	0.15780998389694
KO	r2	6	G1	169	0.539936102236422
KO	r2	6	G2M	79	0.252396166134185
KO	r2	6	S	65	0.207667731629393
KO	r2	7	G1	172	0.603508771929825
KO	r2	7	G2M	43	0.150877192982456
KO	r2	7	S	70	0.245614035087719
KO	r2	8	G1	127	0.381381381381381
KO	r2	8	G2M	111	0.333333333333333
KO	r2	8	S	95	0.285285285285285
KO	r2	9	G1	250	0.670241286863271
KO	r2	9	G2M	71	0.190348525469169
KO	r2	9	S	52	0.13941018766756
KO	r2	10	G1	266	0.615740740740741
KO	r2	10	G2M	77	0.178240740740741
KO	r2	10	S	89	0.206018518518519
KO	r2	11	G1	97	0.404166666666667
KO	r2	11	G2M	80	0.333333333333333
KO	r2	11	S	63	0.2625
KO	r2	12	G1	159	0.630952380952381
KO	r2	12	G2M	51	0.202380952380952
KO	r2	12	S	42	0.166666666666667
KO	r2	13	G1	78	0.4
KO	r2	13	G2M	67	0.343589743589744
KO	r2	13	S	50	0.256410256410256
KO	r2	14	G1	82	0.322834645669291
KO	r2	14	G2M	92	0.362204724409449
KO	r2	14	S	80	0.31496062992126
KO	r2	15	G1	152	0.633333333333333
KO	r2	15	G2M	39	0.1625
KO	r2	15	S	49	0.204166666666667
KO	r2	16	G1	101	0.604790419161677
KO	r2	16	G2M	31	0.18562874251497
KO	r2	16	S	35	0.209580838323353
KO	r2	17	G1	74	0.418079096045198
KO	r2	17	G2M	50	0.282485875706215
